id_compra,sello,codigo_pasta,cantidad_kg,precio_unitario
1179,FR-001,P002,2.357,2583.81
1179,FR-001,P011,3.13,5701.69
1180,FR-001,P022,2.677,3951.28
1180,FR-001,P025,3.532,2230.34
1180,FR-001,P023,0.932,2068.71
1181,FR-001,P025,4.454,2230.34
1181,FR-001,P023,3.736,2068.71
1181,FR-001,P016,4.429,2683.15
1181,FR-001,P019,2.751,5152.69
1182,FR-001,P020,1.064,8754.39
1182,FR-001,P003,2.751,7536.54
1182,FR-001,P026,2.322,3671.15
1183,FR-001,P017,2.531,3991.58
1183,FR-001,P016,2.615,2683.15
1184,FR-001,P020,0.336,8754.39
1184,FR-001,P003,2.052,7536.54
1184,FR-001,P002,4.392,2583.81
1184,FR-001,P010,3.976,1954.6
1185,FR-001,P020,1.118,8754.39
1185,FR-001,P026,3.809,3671.15
1185,FR-001,P013,0.727,2887.94
1185,FR-001,P011,1.755,5701.69
1186,FR-001,P003,2.691,7536.54
1186,FR-001,P022,0.918,3951.28
1187,FR-001,P001,3.596,3623.94
1187,FR-001,P009,0.288,2340.99
1187,FR-001,P003,4.077,7536.54
1188,FR-001,P005,3.077,3436.6
1189,FR-001,P008,1.43,2661.77
1189,FR-001,P026,0.517,3671.15
1189,FR-001,P023,4.648,2068.71
1190,FR-001,P012,1.633,6583.14
1190,FR-001,P015,2.129,5107.98
1190,FR-001,P017,4.052,3991.58
1190,FR-001,P004,1.76,2175.21
1191,FR-001,P019,1.245,5152.69
1192,FR-001,P022,0.627,3951.28
1193,FR-001,P024,1.786,7540.09
1194,FR-001,P012,4.256,6583.14
1194,FR-001,P013,4.783,2887.94
1194,FR-001,P015,0.685,5107.98
1195,FR-001,P002,4.939,2583.81
1195,FR-001,P023,3.542,2068.71
1195,FR-001,P024,1.557,7540.09
1195,FR-001,P003,1.155,7536.54
1196,FR-001,P012,2.623,6583.14
1196,FR-001,P014,1.358,7229.51
1196,FR-001,P001,1.128,3623.94
1196,FR-001,P026,0.742,3671.15
1197,FR-001,P007,2.535,8153.66
1197,FR-001,P015,3.26,5107.98
1197,FR-001,P008,0.46,2661.77
1197,FR-001,P020,4.247,8754.39
1198,FR-001,P019,0.993,5152.69
1198,FR-001,P006,4.179,3327.57
1198,FR-001,P014,4.903,7229.51
1199,FR-001,P024,4.508,7540.09
1199,FR-001,P022,0.324,3951.28
1200,FR-001,P014,0.617,7229.51
1201,FR-001,P011,2.275,5701.69
1201,FR-001,P009,2.164,2340.99
1201,FR-001,P023,1.063,2068.71
1201,FR-001,P019,3.339,5152.69
1202,FR-001,P009,1.435,2340.99
1203,FR-001,P009,4.186,2340.99
1204,FR-001,P003,4.193,7536.54
1205,FR-001,P026,0.405,3671.15
1206,FR-001,P011,4.497,5701.69
1206,FR-001,P002,3.795,2583.81
1206,FR-001,P003,4.633,7536.54
1207,FR-001,P019,4.733,5152.69
1208,FR-001,P002,3.102,2583.81
1208,FR-001,P005,1.155,3436.6
1208,FR-001,P016,4.471,2683.15
1208,FR-001,P013,4.346,2887.94
1209,FR-001,P020,1.469,8754.39
1209,FR-001,P014,2.637,7229.51
1209,FR-001,P002,4.482,2583.81
1209,FR-001,P011,2.036,5701.69
1210,FR-001,P016,4.228,2683.15
1210,FR-001,P012,1.053,6583.14
1210,FR-001,P001,1.721,3623.94
1211,FR-001,P025,3.056,2230.34
1211,FR-001,P002,1.501,2583.81
1211,FR-001,P013,3.794,2887.94
1212,FR-001,P025,1.853,2230.34
1212,FR-001,P004,1.475,2175.21
1212,FR-001,P024,0.753,7540.09
1212,FR-001,P016,2.712,2683.15
1213,FR-001,P025,0.8,2230.34
1213,FR-001,P016,2.918,2683.15
1213,FR-001,P004,4.18,2175.21
1213,FR-001,P026,0.711,3671.15
1214,FR-001,P012,4.831,6583.14
1215,FR-001,P003,2.946,7536.54
1216,FR-001,P016,1.059,2683.15
1216,FR-001,P002,2.587,2583.81
1216,FR-001,P018,2.855,3257.14
1217,FR-001,P002,1.626,2583.81
1217,FR-001,P009,4.536,2340.99
1217,FR-001,P024,4.554,7540.09
1218,FR-001,P024,4.871,7540.09
1218,FR-001,P005,1.488,3436.6
1218,FR-001,P020,0.939,8754.39
1219,FR-001,P016,2.768,2683.15
1219,FR-001,P026,0.538,3671.15
1219,FR-001,P021,1.896,5382.5
1219,FR-001,P001,0.457,3623.94
1220,FR-001,P004,3.428,2175.21
1220,FR-001,P008,3.375,2661.77
1220,FR-001,P015,4.902,5107.98
1221,FR-001,P017,0.454,3991.58
1221,FR-001,P009,0.929,2340.99
1221,FR-001,P020,0.548,8754.39
1221,FR-001,P015,3.697,5107.98
1222,FR-001,P010,0.962,1954.6
1223,FR-001,P022,3.354,3951.28
1223,FR-001,P018,0.459,3257.14
1223,FR-001,P003,2.791,7536.54
1223,FR-001,P015,4.533,5107.98
1224,FR-001,P014,2.99,7229.51
1224,FR-001,P012,0.982,6583.14
1225,FR-001,P020,3.34,8754.39
1225,FR-001,P024,2.471,7540.09
1226,FR-001,P024,1.736,7540.09
1226,FR-001,P004,0.827,2175.21
1226,FR-001,P022,2.43,3951.28
1226,FR-001,P002,0.647,2583.81
1227,FR-001,P001,4.034,3623.94
1228,FR-001,P001,1.902,3623.94
1228,FR-001,P003,4.817,7536.54
1228,FR-001,P023,3.624,2068.71
1228,FR-001,P015,2.8,5107.98
1229,FR-001,P001,4.521,3623.94
1230,FR-001,P006,4.876,3327.57
1230,FR-001,P017,1.972,3991.58
1230,FR-001,P010,2.325,1954.6
1231,FR-001,P016,2.282,2683.15
1231,FR-001,P026,0.873,3671.15
1231,FR-001,P002,0.689,2583.81
1231,FR-001,P014,3.699,7229.51
1232,FR-001,P018,1.355,3257.14
1232,FR-001,P025,3.034,2230.34
1233,FR-001,P009,1.225,2340.99
1234,FR-001,P004,1.003,2175.21
1234,FR-001,P012,4.772,6583.14
1235,FR-001,P020,1.305,8754.39
1235,FR-001,P016,2.258,2683.15
1235,FR-001,P018,4.187,3257.14
1236,FR-001,P026,4.503,3671.15
1236,FR-001,P023,3.47,2068.71
1236,FR-001,P002,0.736,2583.81
1237,FR-001,P026,2.46,3671.15
1237,FR-001,P010,4.422,1954.6
1237,FR-001,P023,2.108,2068.71
1238,FR-001,P003,1.088,7536.54
1239,FR-001,P011,2.174,5701.69
1239,FR-001,P025,0.863,2230.34
1240,FR-001,P014,3.779,7229.51
1240,FR-001,P004,4.334,2175.21
1241,FR-001,P005,1.949,3436.6
1242,FR-001,P021,3.742,5382.5
1242,FR-001,P006,2.142,3327.57
1242,FR-001,P023,1.395,2068.71
1242,FR-001,P002,0.546,2583.81
1243,FR-001,P020,1.761,8754.39
1243,FR-001,P012,2.109,6583.14
1243,FR-001,P004,4.52,2175.21
1244,FR-001,P014,3.6,7229.51
1245,FR-001,P019,4.411,5152.69
1245,FR-001,P013,4.849,2887.94
1246,FR-001,P024,0.881,7540.09
1246,FR-001,P007,1.959,8153.66
1246,FR-001,P013,4.909,2887.94
1246,FR-001,P002,2.035,2583.81
1247,FR-001,P007,3.189,8153.66
1247,FR-001,P005,1.094,3436.6
1247,FR-001,P026,4.397,3671.15
1247,FR-001,P002,1.958,2583.81
1248,FR-001,P013,3.169,2887.94
1249,FR-001,P020,2.336,8754.39
1250,FR-001,P007,4.579,8153.66
1250,FR-001,P021,4.132,5382.5
1250,FR-001,P018,2.795,3257.14
1250,FR-001,P016,1.2,2683.15
1251,FR-001,P004,4.916,2175.21
1251,FR-001,P025,3.289,2230.34
1251,FR-001,P002,2.326,2583.81
1252,FR-001,P018,1.614,3257.14
1252,FR-001,P010,4.811,1954.6
1252,FR-001,P017,4.821,3991.58
1253,FR-001,P001,0.278,3623.94
1253,FR-001,P025,2.295,2230.34
1254,FR-001,P023,1.738,2068.71
1254,FR-001,P026,3.338,3671.15
1255,FR-001,P001,3.557,3623.94
1255,FR-001,P023,4.771,2068.71
1255,FR-001,P018,2.608,3257.14
1255,FR-001,P020,0.431,8754.39
1256,FR-001,P016,3.213,2683.15
1256,FR-001,P012,0.275,6583.14
1257,FR-001,P015,3.268,5107.98
1257,FR-001,P020,4.749,8754.39
1257,FR-001,P002,3.801,2583.81
1258,FR-001,P002,2.482,2583.81
1258,FR-001,P009,0.851,2340.99
1259,FR-001,P006,4.282,3327.57
1260,FR-001,P012,0.271,6583.14
1260,FR-001,P004,4.734,2175.21
1260,FR-001,P007,0.477,8153.66
1261,FR-001,P004,4.501,2175.21
1262,FR-001,P016,2.54,2683.15
1262,FR-001,P011,4.539,5701.69
1262,FR-001,P010,2.663,1954.6
1263,FR-001,P018,1.593,3257.14
1264,FR-001,P010,2.675,1954.6
1264,FR-001,P001,2.632,3623.94
1264,FR-001,P013,3.974,2887.94
1264,FR-001,P006,2.361,3327.57
1265,FR-001,P011,0.312,5701.69
1265,FR-001,P008,3.544,2661.77
1265,FR-001,P006,4.82,3327.57
1266,FR-001,P011,4.251,5701.69
1267,FR-001,P004,1.146,2175.21
1268,FR-001,P009,0.633,2340.99
1268,FR-001,P015,4.055,5107.98
1269,FR-001,P022,3.668,3951.28
1269,FR-001,P025,0.83,2230.34
1269,FR-001,P012,4.921,6583.14
1269,FR-001,P001,3.206,3623.94
1270,FR-001,P017,3.267,3991.58
1271,FR-001,P012,3.806,6583.14
1272,FR-001,P005,0.355,3436.6
1273,FR-001,P016,1.477,2683.15
1274,FR-001,P009,3.741,2340.99
1275,FR-001,P003,3.007,7536.54
1275,FR-001,P011,4.592,5701.69
1275,FR-001,P014,1.261,7229.51
1276,FR-001,P014,3.977,7229.51
1276,FR-001,P023,2.068,2068.71
1276,FR-001,P020,2.966,8754.39
1276,FR-001,P005,4.608,3436.6
1277,FR-001,P015,2.461,5107.98
1277,FR-001,P008,3.156,2661.77
1277,FR-001,P017,0.45,3991.58
1278,FR-001,P006,0.48,3327.57
1278,FR-001,P007,4.899,8153.66
1278,FR-001,P020,1.993,8754.39
1279,FR-001,P014,0.465,7229.51
1279,FR-001,P026,0.635,3671.15
1280,FR-001,P007,2.517,8153.66
1281,FR-001,P020,3.315,8754.39
1281,FR-001,P003,2.792,7536.54
1281,FR-001,P005,4.117,3436.6
1282,FR-001,P014,2.998,7229.51
1282,FR-001,P013,4.381,2887.94
1283,FR-001,P010,3.47,1954.6
1283,FR-001,P007,1.176,8153.66
1283,FR-001,P014,3.374,7229.51
1283,FR-001,P012,4.53,6583.14
1284,FR-001,P012,3.863,6583.14
1284,FR-001,P014,1.999,7229.51
1284,FR-001,P018,3.832,3257.14
1285,FR-001,P004,3.581,2175.21
1285,FR-001,P010,4.001,1954.6
1285,FR-001,P013,4.663,2887.94
1286,FR-001,P018,2.377,3257.14
1287,FR-001,P014,3.858,7229.51
1287,FR-001,P025,0.861,2230.34
1287,FR-001,P008,0.287,2661.77
1287,FR-001,P022,0.989,3951.28
1288,FR-001,P008,2.711,2661.77
1288,FR-001,P023,3.249,2068.71
1289,FR-001,P022,2.957,3951.28
1290,FR-001,P025,0.94,2230.34
1291,FR-001,P020,3.7,8754.39
1292,FR-001,P001,1.415,3623.94
1292,FR-001,P009,4.216,2340.99
1292,FR-001,P025,4.605,2230.34
1292,FR-001,P010,4.662,1954.6
1293,FR-001,P017,4.106,3991.58
1293,FR-001,P010,3.349,1954.6
1293,FR-001,P015,2.096,5107.98
1293,FR-001,P002,3.757,2583.81
1294,FR-001,P016,3.128,2683.15
1294,FR-001,P024,4.774,7540.09
1294,FR-001,P017,1.212,3991.58
1295,FR-001,P012,1.225,6583.14
1296,FR-001,P007,3.929,8153.66
1296,FR-001,P017,4.886,3991.58
1296,FR-001,P002,0.949,2583.81
1296,FR-001,P018,1.152,3257.14
1297,FR-001,P019,2.437,5152.69
1298,FR-001,P020,4.036,8754.39
1299,FR-001,P010,2.625,1954.6
1299,FR-001,P015,3.247,5107.98
1300,FR-001,P012,4.63,6583.14
1300,FR-001,P004,0.908,2175.21
1300,FR-001,P017,0.265,3991.58
1300,FR-001,P023,2.658,2068.71
1301,FR-001,P013,2.755,2887.94
1301,FR-001,P015,4.93,5107.98
1302,FR-001,P017,3.338,3991.58
1302,FR-001,P021,4.427,5382.5
1303,FR-001,P001,2.645,3623.94
1303,FR-001,P013,4.563,2887.94
1303,FR-001,P025,0.551,2230.34
1303,FR-001,P026,4.558,3671.15
1304,FR-001,P019,4.362,5152.69
1304,FR-001,P002,2.005,2583.81
1304,FR-001,P010,2.835,1954.6
1304,FR-001,P024,1.515,7540.09
1305,FR-001,P017,2.843,3991.58
1305,FR-001,P001,0.607,3623.94
1305,FR-001,P014,2.386,7229.51
1306,FR-001,P006,1.606,3327.57
1306,FR-001,P021,3.413,5382.5
1307,FR-001,P001,2.899,3623.94
1307,FR-001,P007,2.773,8153.66
1307,FR-001,P004,1.506,2175.21
1307,FR-001,P002,3.693,2583.81
1308,FR-001,P024,4.934,7540.09
1308,FR-001,P009,2.867,2340.99
1308,FR-001,P017,0.461,3991.58
1309,FR-001,P018,1.461,3257.14
1309,FR-001,P008,4.525,2661.77
1309,FR-001,P007,1.762,8153.66
1310,FR-001,P023,0.894,2068.71
1310,FR-001,P015,0.534,5107.98
1310,FR-001,P024,0.725,7540.09
1310,FR-001,P021,0.584,5382.5
1311,FR-001,P014,3.59,7229.51
1312,FR-001,P010,3.128,1954.6
1312,FR-001,P002,2.995,2583.81
1312,FR-001,P011,3.268,5701.69
1312,FR-001,P021,1.693,5382.5
1313,FR-001,P017,2.619,3991.58
1314,FR-001,P023,1.255,2068.71
1315,FR-001,P021,1.839,5382.5
1315,FR-001,P025,4.629,2230.34
1316,FR-001,P015,0.852,5107.98
1316,FR-001,P004,3.741,2175.21
1317,FR-001,P001,3.986,3623.94
1317,FR-001,P010,1.77,1954.6
1317,FR-001,P003,2.817,7536.54
1317,FR-001,P011,3.274,5701.69
1318,FR-001,P021,2.338,5382.5
1318,FR-001,P024,3.643,7540.09
1319,FR-001,P006,3.426,3327.57
1319,FR-001,P004,2.092,2175.21
1319,FR-001,P016,0.903,2683.15
1320,FR-001,P020,1.183,8754.39
1320,FR-001,P009,0.778,2340.99
1320,FR-001,P024,4.886,7540.09
1320,FR-001,P008,1.005,2661.77
1321,FR-001,P024,0.435,7540.09
1321,FR-001,P026,3.334,3671.15
1322,FR-001,P014,1.717,7229.51
1322,FR-001,P005,0.317,3436.6
1322,FR-001,P002,4.575,2583.81
1322,FR-001,P017,2.724,3991.58
1323,FR-001,P009,1.827,2340.99
1323,FR-001,P001,2.383,3623.94
1323,FR-001,P025,2.18,2230.34
1323,FR-001,P004,2.084,2175.21
1324,FR-001,P020,3.169,8754.39
1325,FR-001,P017,1.879,3991.58
1325,FR-001,P022,0.845,3951.28
1325,FR-001,P011,4.539,5701.69
1325,FR-001,P014,3.404,7229.51
1326,FR-001,P005,2.921,3436.6
1326,FR-001,P009,2.254,2340.99
1326,FR-001,P011,2.408,5701.69
1327,FR-001,P019,0.51,5152.69
1327,FR-001,P020,2.45,8754.39
1328,FR-001,P023,2.493,2068.71
1328,FR-001,P014,1.539,7229.51
1329,FR-001,P004,1.744,2175.21
1330,FR-001,P004,1.027,2175.21
1330,FR-001,P008,3.657,2661.77
1330,FR-001,P017,4.657,3991.58
1331,FR-001,P022,4.948,3951.28
1331,FR-001,P018,3.177,3257.14
1331,FR-001,P017,4.067,3991.58
1331,FR-001,P007,4.213,8153.66
1332,FR-001,P005,2.26,3436.6
1332,FR-001,P012,2.63,6583.14
1332,FR-001,P021,2.251,5382.5
1332,FR-001,P009,2.924,2340.99
1333,FR-001,P003,2.157,7536.54
1333,FR-001,P002,2.612,2583.81
1333,FR-001,P008,3.297,2661.77
1333,FR-001,P012,0.496,6583.14
1334,FR-001,P007,4.649,8153.66
1334,FR-001,P016,3.604,2683.15
1334,FR-001,P021,4.204,5382.5
1335,FR-001,P005,1.987,3436.6
1335,FR-001,P016,3.326,2683.15
1335,FR-001,P008,0.399,2661.77
1335,FR-001,P021,3.716,5382.5
1336,FR-001,P014,4.313,7229.51
1336,FR-001,P010,3.274,1954.6
1337,FR-001,P010,3.123,1954.6
1338,FR-001,P019,4.559,5152.69
1339,FR-001,P001,0.473,3623.94
1340,FR-001,P014,2.113,7229.51
1341,FR-001,P010,1.431,1954.6
1341,FR-001,P011,0.51,5701.69
1341,FR-001,P024,2.504,7540.09
1342,FR-001,P013,3.742,2887.94
1342,FR-001,P005,2.582,3436.6
1342,FR-001,P021,1.666,5382.5
1343,FR-001,P021,1.745,5382.5
1344,FR-001,P011,3.455,5701.69
1344,FR-001,P022,2.96,3951.28
1345,FR-001,P002,3.925,2583.81
1345,FR-001,P016,1.192,2683.15
1346,FR-001,P014,4.961,7229.51
1347,FR-001,P025,4.461,2230.34
1347,FR-001,P013,0.468,2887.94
1347,FR-001,P019,2.375,5152.69
1348,FR-001,P025,0.693,2230.34
1348,FR-001,P003,3.427,7536.54
1348,FR-001,P004,1.451,2175.21
1348,FR-001,P016,3.287,2683.15
1349,FR-001,P002,1.531,2583.81
1349,FR-001,P001,0.952,3623.94
1349,FR-001,P014,2.427,7229.51
1350,FR-001,P026,4.202,3671.15
1350,FR-001,P009,3.32,2340.99
1350,FR-001,P008,3.873,2661.77
1350,FR-001,P010,2.216,1954.6
1351,FR-001,P014,3.508,7229.51
1351,FR-001,P022,1.942,3951.28
1352,FR-001,P010,4.472,1954.6
1352,FR-001,P016,3.442,2683.15
1353,FR-001,P003,0.996,7536.54
1353,FR-001,P014,2.027,7229.51
1353,FR-001,P001,2.972,3623.94
1354,FR-001,P007,2.803,8153.66
1354,FR-001,P023,2.618,2068.71
1354,FR-001,P018,1.956,3257.14
1355,FR-001,P011,0.532,5701.69
1355,FR-001,P019,3.687,5152.69
1355,FR-001,P024,3.447,7540.09
1355,FR-001,P006,4.438,3327.57
1356,FR-001,P026,3.754,3671.15
1356,FR-001,P017,4.242,3991.58
1357,FR-001,P002,4.346,2583.81
1357,FR-001,P026,2.147,3671.15
1358,FR-001,P024,4.574,7540.09
1358,FR-001,P008,1.419,2661.77
1358,FR-001,P001,4.839,3623.94
1359,FR-001,P015,3.306,5107.98
1359,FR-001,P023,1.615,2068.71
1359,FR-001,P009,1.333,2340.99
1359,FR-001,P010,3.658,1954.6
1360,FR-001,P019,1.718,5152.69
1360,FR-001,P023,3.476,2068.71
1361,FR-001,P016,1.591,2683.15
1361,FR-001,P023,3.61,2068.71
1361,FR-001,P021,1.651,5382.5
1361,FR-001,P024,4.32,7540.09
1362,FR-001,P015,3.273,5107.98
1362,FR-001,P005,2.118,3436.6
1362,FR-001,P009,1.551,2340.99
1362,FR-001,P021,3.197,5382.5
1363,FR-001,P026,4.076,3671.15
1363,FR-001,P024,1.253,7540.09
1364,FR-001,P004,0.298,2175.21
1364,FR-001,P019,2.391,5152.69
1364,FR-001,P026,4.515,3671.15
1365,FR-001,P001,0.403,3623.94
1366,FR-001,P018,2.662,3257.14
1366,FR-001,P010,3.0,1954.6
1366,FR-001,P006,1.426,3327.57
1366,FR-001,P020,2.052,8754.39
1367,FR-001,P005,0.852,3436.6
1367,FR-001,P004,1.939,2175.21
1367,FR-001,P017,1.906,3991.58
1368,FR-001,P025,2.7,2230.34
1368,FR-001,P002,0.589,2583.81
1368,FR-001,P006,1.876,3327.57
1368,FR-001,P010,1.978,1954.6
1369,FR-001,P025,1.49,2230.34
1369,FR-001,P017,1.506,3991.58
1369,FR-001,P024,4.943,7540.09
1370,FR-001,P004,4.971,2175.21
1370,FR-001,P021,1.309,5382.5
1370,FR-001,P005,1.222,3436.6
1371,FR-001,P009,4.379,2340.99
1371,FR-001,P002,3.536,2583.81
1371,FR-001,P023,2.692,2068.71
1372,FR-001,P014,4.303,7229.51
1373,FR-001,P003,1.387,7536.54
1373,FR-001,P024,1.812,7540.09
1374,FR-001,P008,2.814,2661.77
1374,FR-001,P011,3.971,5701.69
1374,FR-001,P015,4.603,5107.98
1375,FR-001,P020,2.495,8754.39
1375,FR-001,P001,4.985,3623.94
1375,FR-001,P024,3.709,7540.09
1376,FR-001,P017,0.598,3991.58
1376,FR-001,P006,0.729,3327.57
1377,FR-001,P013,3.278,2887.94
1377,FR-001,P010,0.7,1954.6
1378,FR-001,P011,1.466,5701.69
1379,FR-001,P018,3.894,3257.14
1379,FR-001,P017,3.269,3991.58
1379,FR-001,P019,2.415,5152.69
1379,FR-001,P007,2.566,8153.66
1380,FR-001,P001,2.012,3623.94
1380,FR-001,P015,3.315,5107.98
1380,FR-001,P020,0.345,8754.39
1381,FR-001,P005,1.131,3436.6
1381,FR-001,P013,2.172,2887.94
1381,FR-001,P022,4.675,3951.28
1381,FR-001,P007,3.641,8153.66
1382,FR-001,P005,1.84,3436.6
1382,FR-001,P014,0.976,7229.51
1383,FR-001,P020,3.759,8754.39
1383,FR-001,P017,0.44,3991.58
1383,FR-001,P002,2.689,2583.81
1383,FR-001,P009,4.994,2340.99
1384,FR-001,P015,4.642,5107.98
1384,FR-001,P020,2.619,8754.39
1385,FR-001,P006,1.156,3327.57
1385,FR-001,P023,3.047,2068.71
1385,FR-001,P021,2.315,5382.5
1386,FR-001,P019,1.678,5152.69
1386,FR-001,P026,1.566,3671.15
1386,FR-001,P004,0.761,2175.21
1386,FR-001,P017,3.475,3991.58
1387,FR-001,P017,2.399,3991.58
1387,FR-001,P012,3.662,6583.14
1388,FR-001,P017,2.149,3991.58
1388,FR-001,P006,0.947,3327.57
1389,FR-001,P026,3.116,3671.15
1389,FR-001,P012,2.992,6583.14
1389,FR-001,P004,1.038,2175.21
1389,FR-001,P011,4.66,5701.69
1390,FR-001,P004,3.739,2175.21
1390,FR-001,P012,1.167,6583.14
1390,FR-001,P021,1.223,5382.5
1390,FR-001,P011,4.886,5701.69
1391,FR-001,P019,4.017,5152.69
1391,FR-001,P025,1.263,2230.34
1391,FR-001,P008,1.669,2661.77
1391,FR-001,P003,2.602,7536.54
1392,FR-001,P003,0.7,7536.54
1392,FR-001,P020,2.458,8754.39
1392,FR-001,P014,1.964,7229.51
1392,FR-001,P024,0.49,7540.09
1393,FR-001,P026,0.347,3671.15
1394,FR-001,P026,0.456,3671.15
1395,FR-001,P017,3.151,3991.58
1395,FR-001,P014,2.924,7229.51
1395,FR-001,P010,4.467,1954.6
1395,FR-001,P022,4.153,3951.28
1396,FR-001,P002,0.823,2583.81
1396,FR-001,P025,0.845,2230.34
1396,FR-001,P001,1.797,3623.94
1396,FR-001,P012,2.685,6583.14
1397,FR-001,P004,3.576,2175.21
1397,FR-001,P020,1.822,8754.39
1398,FR-001,P016,4.935,2683.15
1398,FR-001,P013,1.239,2887.94
1399,FR-001,P021,3.617,5382.5
1399,FR-001,P019,4.646,5152.69
1399,FR-001,P022,2.615,3951.28
1399,FR-001,P006,3.459,3327.57
1400,FR-001,P025,3.463,2230.34
1400,FR-001,P006,2.51,3327.57
1400,FR-001,P013,1.174,2887.94
1400,FR-001,P017,0.614,3991.58
1401,FR-001,P006,3.858,3327.57
1401,FR-001,P022,1.23,3951.28
1401,FR-001,P009,2.587,2340.99
1402,FR-001,P015,1.795,5107.98
1403,FR-001,P010,4.34,1954.6
1404,FR-001,P009,1.521,2340.99
1404,FR-001,P021,3.969,5382.5
1404,FR-001,P020,0.796,8754.39
1405,FR-001,P022,4.863,3951.28
1405,FR-001,P009,3.859,2340.99
1405,FR-001,P011,3.345,5701.69
1405,FR-001,P019,1.085,5152.69
1406,FR-001,P018,0.28,3257.14
1406,FR-001,P009,2.98,2340.99
1407,FR-001,P025,2.372,2230.34
1407,FR-001,P016,3.408,2683.15
1408,FR-001,P015,3.272,5107.98
1408,FR-001,P008,2.758,2661.77
1408,FR-001,P022,0.276,3951.28
1409,FR-001,P002,4.505,2583.81
1409,FR-001,P011,0.991,5701.69
1409,FR-001,P022,0.671,3951.28
1409,FR-001,P004,4.562,2175.21
1410,FR-001,P021,2.773,5382.5
1411,FR-001,P005,3.0,3436.6
1411,FR-001,P001,1.551,3623.94
1411,FR-001,P016,4.186,2683.15
1411,FR-001,P012,2.023,6583.14
1412,FR-001,P003,2.162,7536.54
1412,FR-001,P020,2.431,8754.39
1412,FR-001,P014,2.038,7229.51
1412,FR-001,P026,0.295,3671.15
1413,FR-001,P002,1.364,2583.81
1413,FR-001,P023,4.975,2068.71
1413,FR-001,P009,3.901,2340.99
1414,FR-001,P021,2.048,5382.5
1414,FR-001,P012,1.694,6583.14
1414,FR-001,P011,2.008,5701.69
1414,FR-001,P015,4.26,5107.98
1415,FR-001,P012,3.694,6583.14
1415,FR-001,P024,3.043,7540.09
1415,FR-001,P015,2.514,5107.98
1415,FR-001,P007,4.877,8153.66
1416,FR-001,P011,0.263,5701.69
1417,FR-001,P020,3.823,8754.39
1417,FR-001,P001,3.701,3623.94
1417,FR-001,P026,1.396,3671.15
1418,FR-001,P020,3.971,8754.39
1419,FR-001,P025,1.725,2230.34
1419,FR-001,P023,2.555,2068.71
1419,FR-001,P006,0.361,3327.57
1419,FR-001,P004,2.236,2175.21
1420,FR-001,P013,4.766,2887.94
1421,FR-001,P008,0.31,2661.77
1421,FR-001,P015,1.218,5107.98
1421,FR-001,P026,4.407,3671.15
1422,FR-001,P006,0.25,3327.57
1422,FR-001,P018,2.581,3257.14
1422,FR-001,P020,2.759,8754.39
1423,FR-001,P005,4.689,3436.6
1423,FR-001,P019,4.065,5152.69
1423,FR-001,P007,2.045,8153.66
1423,FR-001,P002,1.92,2583.81
1424,FR-001,P016,0.78,2683.15
1425,FR-001,P004,1.296,2175.21
1425,FR-001,P013,4.275,2887.94
1425,FR-001,P020,2.433,8754.39
1425,FR-001,P002,1.825,2583.81
1426,FR-001,P009,0.812,2340.99
1427,FR-001,P022,2.355,3951.28
1427,FR-001,P019,2.296,5152.69
1427,FR-001,P021,1.213,5382.5
1427,FR-001,P016,3.074,2683.15
1428,FR-001,P014,2.947,7229.51
1428,FR-001,P015,3.204,5107.98
1428,FR-001,P002,3.447,2583.81
1429,FR-001,P009,4.349,2340.99
1429,FR-001,P020,0.96,8754.39
1429,FR-001,P014,4.348,7229.51
1429,FR-001,P003,2.679,7536.54
1430,FR-001,P017,3.43,3991.58
1431,FR-001,P023,4.285,2068.71
1431,FR-001,P016,2.811,2683.15
1431,FR-001,P015,4.555,5107.98
1432,FR-001,P009,1.28,2340.99
1432,FR-001,P025,1.904,2230.34
1433,FR-001,P017,3.511,3991.58
1433,FR-001,P024,4.982,7540.09
1433,FR-001,P013,2.373,2887.94
1433,FR-001,P018,1.455,3257.14
1434,FR-001,P023,0.308,2068.71
1434,FR-001,P008,3.952,2661.77
1435,FR-001,P019,3.637,5152.69
1436,FR-001,P011,1.472,5701.69
1437,FR-001,P019,0.799,5152.69
1437,FR-001,P012,4.973,6583.14
1437,FR-001,P001,4.297,3623.94
1438,FR-001,P015,0.667,5107.98
1438,FR-001,P005,4.218,3436.6
1438,FR-001,P024,2.064,7540.09
1438,FR-001,P022,3.882,3951.28
1439,FR-001,P009,0.334,2340.99
1440,FR-001,P018,4.75,3257.14
1440,FR-001,P006,3.824,3327.57
1441,FR-001,P020,4.103,8754.39
1441,FR-001,P021,0.815,5382.5
1441,FR-001,P026,1.39,3671.15
1442,FR-001,P014,4.013,7229.51
1443,FR-001,P019,1.573,5152.69
1444,FR-001,P022,3.967,3951.28
1444,FR-001,P026,3.388,3671.15
1445,FR-001,P019,1.37,5152.69
1445,FR-001,P014,4.921,7229.51
1445,FR-001,P021,0.658,5382.5
1446,FR-001,P004,4.191,2175.21
1446,FR-001,P021,0.548,5382.5
1447,FR-001,P023,1.396,2068.71
1448,FR-001,P020,3.735,8754.39
1448,FR-001,P002,1.587,2583.81
1448,FR-001,P010,1.493,1954.6
1448,FR-001,P014,3.907,7229.51
1449,FR-001,P011,0.717,5701.69
1450,FR-001,P020,4.562,8754.39
